timestamp,x,y,raw_x,raw_y
1741945259773,220.0000,224.0000,220.0000,224.0000
1741945259807,228.0000,229.0000,236.0000,234.0000
1741945259846,230.6667,230.6667,236.0000,234.0000
1741945259870,230.5000,231.0000,230.0000,232.0000
1741945259898,230.8000,230.4000,232.0000,228.0000
1741945259925,230.8000,231.8000,220.0000,231.0000
1741945259953,226.8000,231.2000,216.0000,231.0000
1741945259986,224.0000,229.6000,222.0000,226.0000
1741945260015,219.8000,227.4000,209.0000,221.0000
1741945260039,214.2000,226.6000,204.0000,224.0000
1741945260069,212.4000,223.6000,211.0000,216.0000
1741945260100,213.0000,223.0000,219.0000,228.0000
1741945260138,216.0000,223.4000,237.0000,228.0000
1741945260172,223.8000,224.6000,248.0000,227.0000
1741945260206,224.0000,221.8000,205.0000,210.0000
1741945260238,241.2000,226.8000,297.0000,241.0000
1741945260265,248.8000,227.4000,257.0000,231.0000
1741945260303,254.2000,229.2000,264.0000,237.0000
1741945260331,259.2000,230.2000,273.0000,232.0000
1741945260368,267.2000,233.0000,245.0000,224.0000
1741945260399,257.8000,230.2000,250.0000,227.0000
1741945260434,255.4000,228.4000,245.0000,222.0000
1741945260468,255.6000,226.8000,265.0000,229.0000
1741945260496,249.4000,224.8000,242.0000,222.0000
1741945260533,245.0000,224.0000,223.0000,220.0000
1741945260569,241.0000,223.4000,230.0000,224.0000
1741945260599,238.6000,223.4000,233.0000,222.0000
1741945260634,237.0000,224.0000,257.0000,232.0000
1741945260665,237.8000,226.8000,246.0000,236.0000
1741945260697,241.4000,229.4000,241.0000,233.0000
1741945260730,263.6000,235.2000,341.0000,253.0000
1741945260766,277.8000,239.4000,304.0000,243.0000
1741945260796,301.6000,245.0000,376.0000,260.0000
1741945260832,312.2000,248.0000,299.0000,251.0000
1741945260859,330.2000,253.0000,331.0000,258.0000
1741945260900,311.2000,248.8000,246.0000,232.0000
1741945260927,310.6000,249.4000,301.0000,246.0000
1741945260949,302.8000,248.4000,337.0000,255.0000
1741945260975,295.8000,244.4000,264.0000,231.0000
1741945261013,304.4000,246.4000,374.0000,268.0000
1741945261048,326.4000,252.6000,356.0000,263.0000
1741945261081,345.4000,258.6000,396.0000,276.0000
1741945261117,352.8000,261.4000,374.0000,269.0000
1741945261148,393.8000,278.8000,469.0000,318.0000
1741945261186,413.8000,287.4000,474.0000,311.0000
1741945261219,466.0000,312.8000,617.0000,390.0000
1741945261251,509.8000,336.8000,615.0000,396.0000
1741945261283,538.2000,353.4000,516.0000,352.0000
1741945261310,527.6000,351.8000,416.0000,310.0000
1741945261337,541.6000,361.4000,544.0000,359.0000
1741945261360,518.2000,348.8000,500.0000,327.0000
1741945261385,490.2000,333.2000,475.0000,318.0000
1741945261413,495.8000,334.2000,544.0000,357.0000
1741945261450,519.4000,343.8000,534.0000,358.0000
1741945261481,529.6000,349.2000,595.0000,386.0000
1741945261516,542.8000,357.2000,566.0000,367.0000
1741945261550,560.4000,369.2000,563.0000,378.0000
1741945261584,568.0000,374.6000,582.0000,384.0000
1741945261616,590.4000,385.0000,646.0000,410.0000
1741945261649,588.8000,383.4000,587.0000,378.0000
1741945261682,598.0000,386.8000,612.0000,384.0000
1741945261715,616.0000,392.8000,653.0000,408.0000
1741945261752,633.0000,398.2000,667.0000,411.0000
1741945261781,633.4000,397.2000,648.0000,405.0000
1741945261817,649.0000,404.8000,665.0000,416.0000
1741945261843,646.8000,404.6000,601.0000,383.0000
1741945261870,645.4000,404.2000,646.0000,406.0000
1741945261896,641.2000,402.2000,646.0000,401.0000
1741945261933,627.2000,396.2000,578.0000,375.0000
1741945261965,627.0000,395.4000,664.0000,412.0000
1741945261992,640.0000,401.6000,666.0000,414.0000
1741945262032,629.8000,395.8000,595.0000,377.0000
1741945262059,620.0000,391.8000,597.0000,381.0000
1741945262083,621.8000,391.6000,587.0000,374.0000
1741945262110,625.0000,393.0000,680.0000,419.0000
1741945262138,630.6000,395.0000,694.0000,424.0000
1741945262165,628.2000,394.2000,583.0000,373.0000
1741945262192,641.6000,400.4000,664.0000,412.0000
1741945262214,647.4000,403.0000,616.0000,387.0000
1741945262245,639.0000,398.8000,638.0000,398.0000
1741945262270,620.4000,390.4000,601.0000,382.0000
1741945262297,620.8000,391.2000,585.0000,377.0000
1741945262325,620.6000,391.6000,663.0000,414.0000
1741945262367,638.2000,400.4000,704.0000,431.0000
1741945262400,649.4000,406.2000,694.0000,427.0000
1741945262433,669.2000,415.0000,700.0000,426.0000
1741945262465,673.4000,417.2000,606.0000,388.0000
1741945262501,671.4000,415.8000,653.0000,407.0000
1741945262532,639.2000,400.4000,543.0000,354.0000
1741945262564,623.8000,393.4000,617.0000,392.0000
1741945262596,606.4000,385.8000,613.0000,388.0000
1741945262638,628.8000,394.4000,718.0000,431.0000
1741945262666,626.6000,392.4000,642.0000,397.0000
1741945262689,646.0000,400.8000,640.0000,396.0000
1741945262718,647.6000,400.2000,625.0000,389.0000
1741945262749,663.6000,406.6000,693.0000,420.0000
1741945262781,647.2000,398.0000,636.0000,388.0000
1741945262815,656.4000,398.2000,688.0000,398.0000
1741945262853,649.8000,392.4000,607.0000,367.0000
1741945262887,657.6000,390.6000,664.0000,380.0000
1741945262914,660.2000,387.0000,706.0000,402.0000
1741945262954,677.8000,392.2000,724.0000,414.0000
1741945262987,672.8000,386.6000,663.0000,370.0000
1741945263016,678.6000,385.6000,636.0000,362.0000
1741945263047,665.2000,379.2000,597.0000,348.0000
1741945263071,658.6000,375.8000,673.0000,385.0000
1741945263099,633.8000,364.0000,600.0000,355.0000
1741945263133,608.4000,356.2000,536.0000,331.0000
1741945263164,607.2000,356.8000,630.0000,365.0000
1741945263201,618.0000,362.6000,651.0000,377.0000
1741945263228,611.2000,358.8000,639.0000,366.0000
1741945263256,616.0000,360.8000,624.0000,365.0000
1741945263284,625.0000,365.2000,581.0000,353.0000
1741945263306,617.8000,363.0000,594.0000,354.0000
1741945263334,598.8000,356.0000,556.0000,342.0000
1741945263371,584.8000,351.6000,569.0000,344.0000
1741945263399,571.6000,347.2000,558.0000,343.0000
1741945263427,562.6000,343.8000,536.0000,336.0000
1741945263456,554.4000,341.2000,553.0000,341.0000
1741945263484,556.6000,342.0000,567.0000,346.0000
1741945263519,555.6000,342.6000,564.0000,347.0000
1741945263546,558.0000,343.6000,570.0000,348.0000
1741945263573,549.6000,340.6000,494.0000,321.0000
1741945263600,549.4000,342.2000,552.0000,349.0000
1741945263627,536.8000,338.8000,504.0000,329.0000
1741945263653,524.8000,335.2000,504.0000,329.0000
1741945263683,509.4000,331.0000,493.0000,327.0000
1741945263709,517.4000,335.6000,534.0000,344.0000
1741945263736,512.0000,332.4000,525.0000,333.0000
1741945263764,516.6000,331.8000,527.0000,326.0000
1741945263792,530.4000,336.2000,573.0000,351.0000
1741945263829,538.6000,337.8000,534.0000,335.0000
1741945263871,544.4000,337.0000,563.0000,340.0000
1741945263898,549.4000,337.0000,550.0000,333.0000
1741945263926,545.6000,335.8000,508.0000,320.0000
1741945263968,537.4000,331.0000,532.0000,327.0000
1741945263996,530.6000,327.6000,500.0000,318.0000
1741945264034,510.2000,320.4000,461.0000,304.0000
1741945264062,498.8000,318.4000,493.0000,323.0000
1741945264089,486.8000,314.8000,448.0000,302.0000
1741945264115,470.0000,309.8000,448.0000,302.0000
1741945264141,461.4000,306.4000,457.0000,301.0000
1741945264167,408.6000,286.4000,197.0000,204.0000
1741945264196,349.8000,262.8000,199.0000,205.0000
1741945264223,298.8000,242.2000,193.0000,199.0000
1741945264244,248.2000,222.2000,195.0000,202.0000
1741945264270,196.6000,203.0000,199.0000,205.0000
1741945264298,197.8000,204.2000,203.0000,210.0000
1741945264334,199.4000,206.0000,207.0000,214.0000
1741945264361,200.2000,207.0000,197.0000,204.0000
1741945264388,201.2000,207.8000,200.0000,206.0000
1741945264410,201.2000,207.8000,199.0000,205.0000
1741945264437,201.4000,208.0000,204.0000,211.0000
1741945264464,201.2000,207.8000,206.0000,213.0000
1741945264501,202.4000,209.0000,203.0000,210.0000
1741945264528,204.6000,211.4000,211.0000,218.0000
1741945264558,205.0000,212.0000,201.0000,208.0000
1741945264601,206.4000,213.4000,211.0000,218.0000
1741945264629,205.6000,212.4000,202.0000,208.0000
1741945264673,207.0000,213.8000,210.0000,217.0000
1741945264699,207.0000,213.8000,211.0000,218.0000
1741945264722,207.2000,214.0000,202.0000,209.0000
1741945264744,204.4000,211.0000,197.0000,203.0000
1741945264772,202.8000,209.6000,194.0000,201.0000
1741945264799,200.6000,207.4000,199.0000,206.0000
1741945264822,197.8000,204.4000,197.0000,203.0000
1741945264848,196.8000,203.2000,197.0000,203.0000
1741945264871,197.8000,204.4000,202.0000,209.0000
1741945264900,199.4000,206.0000,202.0000,209.0000
1741945264928,198.4000,204.8000,194.0000,200.0000
1741945264955,197.6000,204.0000,193.0000,199.0000
1741945264983,196.4000,202.8000,191.0000,197.0000
1741945265009,196.4000,202.8000,202.0000,209.0000
1741945265037,197.4000,203.8000,207.0000,214.0000
1741945265064,199.2000,205.8000,203.0000,210.0000
1741945265091,199.2000,206.0000,193.0000,200.0000
1741945265135,200.0000,207.0000,195.0000,202.0000
1741945265166,197.6000,204.4000,190.0000,196.0000
1741945265193,191.6000,198.2000,177.0000,183.0000
1741945265219,187.4000,193.8000,182.0000,188.0000
1741945265246,186.4000,192.6000,188.0000,194.0000
1741945265272,186.2000,192.4000,194.0000,201.0000
1741945265293,185.4000,191.6000,186.0000,192.0000
1741945265318,187.6000,193.8000,188.0000,194.0000
1741945265345,190.2000,196.4000,195.0000,201.0000
1741945265371,189.0000,195.2000,182.0000,188.0000
1741945265397,188.8000,195.0000,193.0000,200.0000
1741945265422,190.0000,196.2000,192.0000,198.0000
1741945265448,189.8000,196.0000,187.0000,193.0000
1741945265481,188.2000,194.4000,187.0000,193.0000
1741945265504,188.2000,194.4000,182.0000,188.0000
1741945265530,189.6000,195.8000,200.0000,207.0000
1741945265554,190.6000,197.0000,197.0000,204.0000
1741945265580,193.2000,199.6000,200.0000,206.0000
1741945265604,195.2000,201.8000,197.0000,204.0000
1741945265633,198.2000,205.0000,197.0000,204.0000
1741945265655,198.0000,204.6000,199.0000,205.0000
1741945265681,199.0000,205.6000,202.0000,209.0000
1741945265709,199.8000,206.6000,204.0000,211.0000
1741945265749,201.8000,208.6000,207.0000,214.0000
1741945265777,202.4000,209.2000,200.0000,207.0000
