inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
space,5.8927,0.3419307,-0.02406684,1,0,0,0.341800492,-0.02406684,0,0,0,0,0,0,9,1,-0.22,0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,1,1,30,1,0.66,-0.22,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,2,2,24,1,0.44,0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,3,3,1,1,-0.44,-0.22,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,4,4,23,1,0.44,0.22,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,5,5,16,1,0.22,-0.22,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,6,6,0,1,-0.44,-0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,7,7,5,1,-0.22,-0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,8,8,27,1,-0.66,0,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,9,9,2,1,-0.44,0,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,10,10,18,1,0.22,0.22,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,11,11,8,1,-0.22,0.22,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,12,12,14,1,0,0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,13,13,21,1,0.44,-0.22,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,14,14,10,1,0,-0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,15,15,20,1,0.44,-0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,16,16,33,1,0.66,0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,17,17,4,1,-0.44,0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,18,18,19,1,0.22,0.44,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
,,,,,,,0.341800492,-0.02406684,0,0,0,0,19,19,17,1,0.22,0,20923,001,2025-01-09_01h24.09.140,demo_eye_tracking2,2021.2.3,MacIntel,121.9512195
