inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.9431,0.049074102,-0.046296296,1,0,0,-0.224074046,-0.216666681,1,0,0,calibration_square,0,0,0,6,1,-0.22,-0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.440740727,-0.000925947,1,0,0,calibration_square,0,1,1,2,1,-0.44,0,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.445370356,-0.22129631,1,0,0,calibration_square,0,2,2,1,1,-0.44,-0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.001851824,-0.430555556,1,0,0,calibration_square,0,3,3,10,1,0,-0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.217592593,-0.0074074,1,0,0,calibration_square,0,4,4,7,1,-0.22,0,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.665740826,-0.438888903,1,0,0,calibration_square,0,5,5,29,1,0.66,-0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.658333337,-0.22129631,1,0,0,calibration_square,0,6,6,26,1,-0.66,-0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.657407407,-0.219444487,1,0,0,calibration_square,0,7,7,30,1,0.66,-0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.220370328,0.220370363,1,0,0,calibration_square,0,8,8,8,1,-0.22,0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.218518504,0.0074074,1,0,0,calibration_square,0,9,9,17,1,0.22,0,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.206481439,-0.433333362,1,0,0,,0,10,10,5,1,-0.22,-0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.660185213,0.43796296,1,0,0,calibration_square,0,11,11,33,1,0.66,0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.659259231,0.013888889,1,0,0,,0,12,12,31,1,0.66,0,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.427777785,0.221296293,1,0,0,,0,13,13,3,1,-0.44,0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.437962956,0.439814815,1,0,0,calibration_square,0,14,14,4,1,-0.44,0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.656481478,0.001851859,1,0,0,calibration_square,0,15,15,27,1,-0.66,0,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.212037051,0.224074063,1,0,0,calibration_square,0,16,16,18,1,0.22,0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.446296268,-0.440740727,1,0,0,calibration_square,0,17,17,20,1,0.44,-0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.665740737,-0.444444444,1,0,0,calibration_square,0,18,18,25,1,-0.66,-0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.427777785,-0.437962991,1,0,0,,0,19,19,0,1,-0.44,-0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.003703718,-0.005555577,1,0,0,calibration_square,0,20,20,12,1,0,0,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.223148134,0.425925926,1,0,0,,0,21,21,9,1,-0.22,0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.00462963,-0.224074116,1,0,0,calibration_square,0,22,22,11,1,0,-0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.440740797,0.431481481,1,0,0,calibration_square,0,23,23,24,1,0.44,0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.006481453,0.212962963,1,0,0,calibration_square,0,24,24,13,1,0,0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0,0.437037035,1,0,0,calibration_square,0,25,25,14,1,0,0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.666666667,0.207407404,1,0,0,,0,26,26,32,1,0.66,0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.22129631,-0.449999986,1,0,0,calibration_square,0,27,27,15,1,0.22,-0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.437962991,-0.006481489,1,0,0,calibration_square,0,28,28,22,1,0.44,0,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.441666638,0.213888892,1,0,0,calibration_square,0,29,29,23,1,0.44,0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.222222222,0.431481481,1,0,0,calibration_square,0,30,30,19,1,0.22,0.44,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.223148134,-0.20648151,1,0,0,,0,31,31,16,1,0.22,-0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,0.440740797,-0.220370399,1,0,0,calibration_square,0,32,32,21,1,0.44,-0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
,,,,,,,-0.651851848,0.222222222,1,0,0,calibration_square,0,33,33,28,1,-0.66,0.22,2,001,2025-02-19_23h09.23.348,demo_eye_tracking2,2021.2.3,Win32,59.52380952
