inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,tracking_resp.keys,tracking_resp.rt
space,15.554,0.213612565,-0.140837696,1,0,0,0.00104712,0.436125654,1,0,0,calibration_square,0,0,0,14,1,0,0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.657591623,0.430890052,1,0,0,calibration_square,0,1,1,33,1,0.66,0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.217801047,-0.219371728,1,0,0,calibration_square,0,2,2,6,1,-0.22,-0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.663874346,-0.443455497,1,0,0,calibration_square,0,3,3,25,1,-0.66,-0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.443979058,0.434031414,1,0,0,calibration_square,0,4,4,4,1,-0.44,0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.219895288,-0.222513089,1,0,0,calibration_square,0,5,5,16,1,0.22,-0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.00104712,-0.440314136,1,0,0,calibration_square,0,6,6,10,1,0,-0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.436649215,0.218324607,1,0,0,calibration_square,0,7,7,3,1,-0.44,0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.221989529,0.223560209,1,0,0,calibration_square,0,8,8,18,1,0.22,0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.662827225,0.216230366,1,0,0,calibration_square,0,9,9,32,1,0.66,0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.443979058,0.005759162,1,0,0,calibration_square,0,10,10,2,1,-0.44,0,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.445026178,0.217277487,1,0,0,calibration_square,0,11,11,23,1,0.44,0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.657591623,-0.220418848,1,0,0,calibration_square,0,12,12,30,1,0.66,-0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.659685864,-0.003664921,1,0,0,calibration_square,0,13,13,27,1,-0.66,0,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.664921466,0.222513089,1,0,0,calibration_square,0,14,14,28,1,-0.66,0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.657591623,-0.002617801,1,0,0,calibration_square,0,15,15,31,1,0.66,0,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.223036649,-0.003664921,1,0,0,calibration_square,0,16,16,7,1,-0.22,0,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.657591623,-0.435078534,1,0,0,calibration_square,0,17,17,29,1,0.66,-0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.656544503,-0.222513089,1,0,0,calibration_square,0,18,18,26,1,-0.66,-0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.216753927,0.436125654,1,0,0,calibration_square,0,19,19,19,1,0.22,0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.218848168,-0.437172775,1,0,0,calibration_square,0,20,20,15,1,0.22,-0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.003141361,-0.223560209,1,0,0,calibration_square,0,21,21,11,1,0,-0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.221989529,-0.002617801,1,0,0,calibration_square,0,22,22,17,1,0.22,0,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.440837696,-0.442408377,1,0,0,calibration_square,0,23,23,0,1,-0.44,-0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.436649215,0.438219895,1,0,0,calibration_square,0,24,24,24,1,0.44,0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.00104712,0.219371728,1,0,0,calibration_square,0,25,25,13,1,0,0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.42617801,0.004712042,1,0,0,,0,26,26,22,1,0.44,0,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,0.002094241,-0.001570681,1,0,0,calibration_square,0,27,27,12,1,0,0,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.220942408,0.223560209,1,0,0,calibration_square,0,28,28,8,1,-0.22,0.22,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
,,,,,,,-0.217801047,0.437172775,1,0,0,calibration_square,0,29,29,9,1,-0.22,0.44,koen,001,2025-01-08_17h51.24.456,demo_eye_tracking2,2021.2.3,Win32,60.0240096,,
